classifier,date,text,type
1,Mon Apr 06 22:45:40 PDT 2009,Bad news was Dad has cancer and is dying   Good news new business started and  I am now a life coach practising holistic weight management,train
1,Mon Apr 06 23:01:15 PDT 2009,"im lonely  keep me company! 22 female, new york",train
1,Mon Apr 06 23:21:30 PDT 2009,Sad about Kutner being killed off my fav show House! ,train
1,Tue Apr 07 01:03:56 PDT 2009,"is going to priceline (city) tomorrow, but lost her 'must haves' list ",train
1,Tue Apr 07 03:16:35 PDT 2009,"Difficulties with GTalk  Closing the Division for the day. Later, everyone.",train
1,Tue Apr 07 03:51:52 PDT 2009,4 hours of school this afternoon ,train
1,Tue Apr 07 05:07:33 PDT 2009,I meant &quot;rly&quot; not &quot;fly&quot; in my other tweet ,train
1,Tue Apr 07 05:52:49 PDT 2009,"@Kal_Penn The episode broke my heart, even though we'd speculated that this was what was coming   Will miss you terribly on the show.",train
1,Tue Apr 07 08:44:21 PDT 2009,@peteeee work  then who knows,train
1,Fri Apr 17 21:16:26 PDT 2009,sunburnt from lying out in the sun all day   undeterred from continuing to lie in the sun tomorrow,train
1,Sat Apr 18 07:16:18 PDT 2009,4 hours of english class on satudays is tiring ,train
1,Sat Apr 18 07:36:31 PDT 2009,Never expected Chennai would lose the match  #ipl,train
1,Sat Apr 18 09:20:03 PDT 2009,is at home nursing his cold...  My friend called me this morning with an extra Long Beach Grand Prix ticket... a no go for me. ,train
1,Sat Apr 18 14:54:32 PDT 2009,We just finished 10 seasons of Friends in two months  Now what are we going to watch?!!??!,train
1,Sat Apr 18 16:53:24 PDT 2009,"@lizwoolly @LouiseBrig @alansheppard Thank you. Hope to hit sleep soon, but have a tooth dilemma going on ",train
1,Sat Apr 18 17:12:40 PDT 2009,Still at office working on coursework  http://bit.ly/l53Gv,train
1,Sat Apr 18 20:32:03 PDT 2009,@Leslie_G stack is injured  are you a rowdy fan? Do you think we'll go 2-0? Was a great game...,train
1,Sat Apr 18 20:35:19 PDT 2009,i wish i was in the bahamas to see the @jonasbrothers  i love you guys &lt;3 good luck at your concert!,train
1,Sun Apr 19 00:52:42 PDT 2009,@Badnews84 its not funny  I'm hurt,train
1,Sun Apr 19 01:23:32 PDT 2009,is still alone ,train
1,Sun Apr 19 02:47:42 PDT 2009,forgot to wish @HelentheKing the best of look for her interview today! ps last night got worse! and i was very tired! ,train
1,Sun Apr 19 02:50:03 PDT 2009,@vlad_dracul  I called you twice ,train
1,Sun Apr 19 04:56:58 PDT 2009,I need more batteries ,train
1,Sun Apr 19 09:25:12 PDT 2009,cheer then back to do homework. lame. ,train
1,Sun Apr 19 11:10:09 PDT 2009,googled the film`17` that every1 talkin about and got &quot;17 (seventeen) is the natural number following 16 and preceding 18. It is prime.&quot; ,train
1,Sun Apr 19 23:00:23 PDT 2009,Watching Stan sleep...what fun for me ,train
1,Sun Apr 19 23:00:56 PDT 2009,wasn't able to join his friends AGAIN because he slept late ,train
1,Sun Apr 19 23:42:39 PDT 2009,@taramasatala me miss them already.. ,train
1,Mon Apr 20 01:07:26 PDT 2009,damn i need to cuddle ,train
1,Mon Apr 20 02:24:55 PDT 2009,"2 hour flight delay, fuel stop in Manchester and now the bloody tube train is stuck @ Hounslow East ... Welcome to Monday ",train
1,Mon Apr 20 02:41:29 PDT 2009,@catherinebray Yeah. me too ,train
1,Mon Apr 20 04:21:45 PDT 2009,I put flyers for my art &amp; card sale out on each table in the Bistro at the gym this morning. People didn't take them   They give 10% off,train
1,Mon Apr 20 04:21:48 PDT 2009,I do my homework ,train
1,Mon Apr 20 04:31:59 PDT 2009,haha lol actually i gotta go down the village 2 buy a prezzie 4 liz!! lol nd i also gotta clean me rabbit out!! god we got skl 2moz!! ,train
1,Mon Apr 20 06:23:23 PDT 2009,I wish I could have gone to Heroes for Autism. ,train
1,Mon Apr 20 07:59:24 PDT 2009,"@HauteCowgirl You will forget soon, and it will be all the same next time LOL  All my batteries are dead, so much for taking product pics ",train
1,Tue Apr 21 00:35:45 PDT 2009,i hate you computer for blockin my imternet ,train
1,Tue Apr 21 00:38:00 PDT 2009,Eyyy.. i'm working... so early.... ,train
1,Tue Apr 21 02:19:00 PDT 2009,@jeffsgrippen don't have any  i need to wait until morning to go to the store,train
1,Fri May 01 20:15:27 PDT 2009,Tigard Dutch bros line is waaaaay too long. ,train
1,Fri May 01 22:15:25 PDT 2009,marley and me makes me cry so hard  lol watching clueless to cheer me up,train
